2020-09-29T19:44:31+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in C:\xampp2\htdocs\Clever-e\wp-content\themes\clever\inc\fnc\fnc.php on line 402

2020-09-29T19:45:07+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in C:\xampp2\htdocs\Clever-e\wp-content\themes\clever\inc\fnc\fnc.php on line 386

2020-09-29T20:33:00+00:00 CRITICAL syntax error, unexpected 'if' (T_IF), expecting ')' in C:\xampp2\htdocs\Clever-e\wp-content\themes\clever\inc\fnc\fnc.php on line 223

2020-09-29T20:33:37+00:00 CRITICAL syntax error, unexpected 'if' (T_IF), expecting ')' in C:\xampp2\htdocs\Clever-e\wp-content\themes\clever\inc\fnc\fnc.php on line 223

2020-09-29T20:33:51+00:00 CRITICAL syntax error, unexpected 'if' (T_IF), expecting ')' in C:\xampp2\htdocs\Clever-e\wp-content\themes\clever\inc\fnc\fnc.php on line 292

2020-09-29T20:35:38+00:00 CRITICAL syntax error, unexpected 'if' (T_IF), expecting ')' in C:\xampp2\htdocs\Clever-e\wp-content\themes\clever\inc\fnc\fnc.php on line 292

2020-09-29T20:43:38+00:00 CRITICAL syntax error, unexpected 'if' (T_IF), expecting ')' in C:\xampp2\htdocs\Clever-e\wp-content\themes\clever\inc\fnc\fnc.php on line 222

2020-09-29T20:43:50+00:00 CRITICAL syntax error, unexpected ''relation'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in C:\xampp2\htdocs\Clever-e\wp-content\themes\clever\inc\fnc\fnc.php on line 265

2020-09-29T20:44:14+00:00 CRITICAL syntax error, unexpected ''relation'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in C:\xampp2\htdocs\Clever-e\wp-content\themes\clever\inc\fnc\fnc.php on line 264

